Product Name,Region,Warehouse ID,Date,Business Unit,Strategic Initiative,Revenue,Expenses,Net Profit,ROI (%),Cost per Unit,Inventory Units,Carrying Cost Rate,Inventory Carrying Cost,Logistics Spend,Automation Investment,Automation Savings,ROI on Automation (%),Risk Category,Risk Score,Risk Status,Order Fulfillment Rate (%),Avg Delivery Time (Days),Network Efficiency Score,Carbon Emission (kg),Emission per Order (kg),Renewable Energy Usage (%),Waste Reduction (%),Initiative Impact Score,Projected Growth (%)
Tomato Ketchup,East,WH_4,2025-05-12,Electronics,Demand Forecasting,93187.94,50793.87,42394.07,83.46,402.56,3577,6.18,88989.35,9831.89,16624.48,2644.87,15.91,Medium,1.92,Watchlist,94.58,3.19,88.08,1565.29,0.44,75.18,27.58,52.12,18.05
Samsung Galaxy S22,West,WH_2,2025-06-21,Fashion,Green Logistics,46558.92,26323.3,20235.62,76.87,377.45,1410,19.29,102662.25,3856.13,12543.89,2587.33,20.63,Low,2.14,Stable,96.29,3.51,81.49,1918.11,1.36,68.41,43.95,97.44,10.58
Adidas Sneakers,South,WH_2,2025-06-09,Fashion,Demand Forecasting,32465.05,8115.87,24349.18,300.02,370.48,4188,12.77,198135.52,13876.05,3237.46,663.66,20.5,High,5.02,Critical,89.14,6.54,84.74,806.59,0.19,88.23,32.6,94.93,11.68
Bookshelf,East,WH_3,2025-06-10,Fashion,Green Logistics,90219.85,77552.95,12666.900000000009,16.33,358.79,1526,16.91,92584.54,8613.82,3305.89,298.18,9.02,Low,3.13,Watchlist,85.38,4.55,81.07,2509.15,1.64,64.13,40.6,54.31,9.64
Barbie Doll,West,WH_2,2025-06-03,Home Essentials,Demand Forecasting,21279.41,10161.02,11118.39,109.42,46.34,3916,15.2,27583.05,6478.69,17681.24,3643.27,20.61,High,6.29,Stable,91.27,6.51,71.66,810.4,0.21,32.24,18.23,66.13,15.64
Levi's Jeans,East,WH_4,2025-06-18,Consumer Goods,Last-Mile Optimization,34700.59,23563.53,11137.059999999998,47.26,311.07,865,12.54,33742.07,4192.27,18890.53,1527.09,8.08,High,6.62,Critical,89.9,6.58,71.24,2659.45,3.07,26.5,57.43,88.55,8.97
Hot Wheels Car,West,WH_1,2025-06-18,Consumer Goods,Demand Forecasting,36070.45,34723.55,1346.8999999999942,3.88,246.64,3426,9.46,79935.93,2948.65,2138.35,294.92,13.79,Medium,5.18,Watchlist,93.8,3.22,91.55,2335.5,0.68,88.86,58.77,56.54,10.56
Samsung Galaxy S22,East,WH_4,2025-05-15,Electronics,Demand Forecasting,32312.7,7644.19,24668.510000000002,322.71,152.2,3246,17.96,88729.8,7435.75,19291.03,4445.85,23.05,Medium,9.4,Critical,89.53,5.7,84.95,1786.81,0.55,59.9,25.43,51.16,19.18
Adidas Sneakers,South,WH_3,2025-04-02,Electronics,Sustainable Packaging,35322.07,23118.01,12204.060000000001,52.79,423.0,3955,9.29,155418.45,2106.31,3042.44,233.62,7.68,Medium,7.55,Watchlist,90.31,3.7,87.11,986.64,0.25,64.26,13.68,75.21,16.47
IKEA Chair,North,WH_2,2025-05-26,Electronics,Green Logistics,98810.89,57330.7,41480.19,72.35,189.15,1281,7.99,19359.86,8618.59,10501.48,620.22,5.91,Low,7.42,Watchlist,92.53,2.32,96.79,849.45,0.66,94.51,25.93,69.65,14.25
Nike T-Shirt,East,WH_1,2025-05-27,Home Essentials,Sustainable Packaging,11497.33,7152.17,4345.16,60.75,63.71,3512,13.76,30787.93,12357.81,14781.16,2773.07,18.76,Low,6.37,Watchlist,99.02,5.81,93.28,1944.09,0.55,77.71,39.18,58.53,14.44
iPhone 14,West,WH_4,2025-06-23,Electronics,Warehouse Automation,19890.6,5281.99,14608.609999999999,276.57,163.71,1340,11.19,24547.66,4650.59,10534.57,1815.06,17.23,Medium,8.86,Critical,95.55,5.38,85.56,1902.22,1.42,99.85,33.92,68.84,19.35
Corn Flakes,East,WH_3,2025-05-07,Fashion,Last-Mile Optimization,96160.37,30434.33,65726.04,215.96,156.26,2538,16.57,65714.61,11163.71,14114.56,2086.14,14.78,Medium,4.14,Critical,88.97,2.17,90.3,1449.24,0.57,98.41,50.92,97.73,17.07
Hot Wheels Car,East,WH_3,2025-05-21,Consumer Goods,Last-Mile Optimization,33079.96,18452.53,14627.43,79.27,109.01,4512,9.07,44611.08,9306.23,6160.81,442.63,7.18,High,6.28,Stable,85.74,6.48,76.77,1082.09,0.24,28.02,26.51,73.62,15.22
Wooden Table,South,WH_3,2025-06-07,Home Essentials,Demand Forecasting,78032.0,25978.08,52053.92,200.38,149.85,584,18.62,16294.81,3162.99,11908.53,1870.0,15.7,High,8.65,Stable,98.24,2.46,96.47,939.47,1.61,93.57,59.86,69.85,12.43
Nike T-Shirt,East,WH_1,2025-06-20,Consumer Goods,Green Logistics,19657.06,19407.8,249.26000000000204,1.28,149.44,4550,12.86,87441.83,13560.38,3549.8,535.46,15.08,Medium,2.74,Stable,89.79,5.52,89.45,2296.5,0.5,21.13,26.86,64.75,15.12
Adidas Sneakers,West,WH_2,2025-04-13,Home Essentials,Sustainable Packaging,70233.03,17053.84,53179.19,311.83,78.9,2750,19.04,41312.04,2088.79,8287.91,1154.9,13.93,Medium,9.59,Watchlist,93.45,4.65,77.85,1398.88,0.51,38.9,43.39,73.27,7.4
Adidas Sneakers,East,WH_2,2025-06-08,Consumer Goods,Last-Mile Optimization,29721.57,8302.03,21419.54,258.0,85.06,3160,11.24,30211.95,9140.05,9945.73,1566.49,15.75,High,8.43,Stable,94.86,4.78,93.62,1813.77,0.57,62.25,28.09,95.86,6.68
Adidas Sneakers,South,WH_4,2025-06-15,Electronics,Warehouse Automation,20461.6,8175.84,12285.759999999998,150.27,295.74,844,18.48,46126.92,7791.27,2057.08,157.14,7.64,Medium,5.11,Stable,93.1,5.2,79.25,554.43,0.66,40.36,10.15,60.9,6.1
Hot Wheels Car,North,WH_3,2025-05-02,Consumer Goods,Green Logistics,35838.16,10550.29,25287.870000000003,239.69,76.36,3543,10.62,28731.72,13587.34,9522.21,2222.7,23.34,Medium,4.38,Critical,98.98,6.31,73.99,2650.72,0.75,29.49,59.64,69.65,6.91
Wooden Table,North,WH_2,2025-06-24,Consumer Goods,Last-Mile Optimization,59000.08,33724.46,25275.620000000003,74.95,413.45,2127,11.91,104737.51,4016.58,4581.13,1030.94,22.5,Low,1.29,Critical,91.08,5.71,96.51,539.11,0.25,36.49,15.04,51.68,13.97
IKEA Chair,North,WH_1,2025-05-08,Electronics,Green Logistics,58578.38,45418.76,13159.619999999995,28.97,390.27,1247,12.56,61125.34,5760.42,16499.94,3239.0,19.63,Medium,6.2,Critical,96.87,2.8,96.29,2964.24,2.38,61.7,30.68,63.76,13.35
Wooden Table,South,WH_2,2025-04-12,Home Essentials,Sustainable Packaging,94742.78,65248.14,29494.64,45.2,395.04,2711,15.44,165355.21,7307.37,6697.88,581.21,8.68,High,5.26,Stable,89.36,5.39,94.17,2786.85,1.03,64.99,58.39,77.86,7.01
Hot Wheels Car,South,WH_2,2025-05-28,Fashion,Green Logistics,43396.97,25566.78,17830.190000000002,69.74,416.41,522,9.03,19628.15,10757.73,12455.52,2799.06,22.47,Low,8.24,Critical,95.5,4.57,84.38,2673.68,5.12,46.64,57.85,50.77,19.06
Tomato Ketchup,North,WH_3,2025-06-23,Home Essentials,Warehouse Automation,28406.18,26419.61,1986.5699999999997,7.52,280.52,2418,10.71,72645.65,8937.45,7825.93,800.69,10.23,High,8.95,Watchlist,86.43,6.9,84.08,2599.33,1.07,93.15,28.54,70.7,13.44
Bookshelf,South,WH_3,2025-06-19,Consumer Goods,Last-Mile Optimization,74801.07,25604.74,49196.33,192.14,106.13,1984,10.7,22530.13,12833.72,10486.73,1897.28,18.09,High,4.04,Watchlist,99.01,5.03,84.72,920.58,0.46,83.6,18.46,86.02,12.32
Barbie Doll,North,WH_4,2025-06-02,Consumer Goods,Green Logistics,78790.5,35430.63,43359.87,122.38,422.85,1995,6.02,50783.86,3963.39,5155.67,727.99,14.12,Low,6.56,Critical,98.54,6.52,89.78,539.33,0.27,62.58,30.57,50.84,15.83
Barbie Doll,East,WH_2,2025-06-22,Consumer Goods,Sustainable Packaging,48751.59,46113.89,2637.699999999997,5.72,97.84,889,12.87,11194.3,5132.59,12775.84,1283.76,10.05,Medium,3.41,Watchlist,86.15,6.78,83.77,1108.02,1.25,75.78,25.0,91.4,6.21
IKEA Chair,North,WH_2,2025-05-18,Consumer Goods,Demand Forecasting,52840.46,35462.32,17378.14,49.0,354.39,777,12.5,34420.13,7640.83,15903.15,2594.94,16.32,Low,9.05,Stable,88.33,6.46,90.77,1916.96,2.47,41.69,56.21,84.22,9.21
iPhone 14,North,WH_3,2025-04-19,Electronics,Last-Mile Optimization,22977.24,19753.75,3223.4900000000016,16.32,412.24,730,9.49,28558.75,9331.46,11767.22,2587.48,21.99,High,9.07,Watchlist,90.57,5.57,93.71,2223.28,3.05,26.27,47.27,67.29,6.47
LEGO Set,North,WH_3,2025-06-20,Fashion,Sustainable Packaging,45703.27,36486.21,9217.059999999998,25.26,24.52,2339,16.75,9606.51,7857.15,5334.63,856.78,16.06,Medium,4.89,Critical,93.5,3.59,93.17,1238.45,0.53,39.72,13.68,63.4,10.7
Adidas Sneakers,South,WH_3,2025-04-03,Home Essentials,Last-Mile Optimization,10467.57,6685.47,3782.0999999999995,56.57,186.36,2309,6.53,28098.93,3134.86,9188.61,1483.01,16.14,High,4.67,Stable,86.3,4.55,87.91,2461.1,1.07,89.1,10.62,70.69,16.69
Sony Headphones,South,WH_3,2025-04-09,Electronics,Demand Forecasting,37101.81,20830.17,16271.64,78.12,41.0,3660,9.14,13715.48,5896.78,15870.67,1939.79,12.22,Low,7.49,Watchlist,93.61,2.58,73.21,1261.64,0.34,95.91,26.61,81.01,17.06
